product_name,brand,regular_price,discount,sales_price,rating,review_count,url,ingredients,main_ingredients,ing_source,crawled_at
[4/29하루특가][턴오버주기개선] 동아제약 색소침착 프로 액제 30ml,동아제약,35000,37%,22000,4.9,564,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249648&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1,"정제수, C13-15알케인, 트라넥사믹애씨드, 나이아신아마이드, 글리세린, 세틸에틸헥사노에이트, 스쿠알란, 트라이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 트라이라우레스-4포스페이트, 글루타티온, 하이드록시아세토페논, 알지닌, 하이드록시에틸우레아, 에틸헥실글리세린, 소듐하이알루로네이트, 아데노신, 해바라기씨오일, 토코페롤, 다이소듐이디티에이, 잔탄검, 알란토인, 알부틴, 세틸팔미테이트, 시트릭애씨드, 글루코노락톤, 올리브오일, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 폴리글리세릴-10라우레이트, 세테아릴알코올, 베타인, 카프릴로일살리실릭애씨드, 코직애씨드, 포스파티딜콜린, 세라마이드엔피, 콜레스테롤, 세라마이드에이피, 하이드록시데실유비퀴논, 아스코빌팔미테이트, 헥실레조시놀",,html,2026-04-29T16:33:20+09:00
[단독기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),아누아,58500,53%,27500,4.8,"12,007",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222698&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=2,"하이드롤라이즈드하이알루로닉애씨드(29,049ppm), 나이아신아마이드, 하이드롤라이즈드콜라겐, 소듐하이알루로 네이트(800ppm), 아데노신, 소듐디엔에이(100ppm), 하이알 루로닉애씨드(30ppm), 하이드롤라이즈드소듐하이알루로네이 트(30ppm), 하이드록시프로필트라이모늄하이알루로네이트 (30ppm), 포타슘하이알루로네이트(30ppm), 소듐하이알루 로네이트크로스폴리머(30ppm), 소듐아세틸레이티드하이알 루로네이트(1ppm), 시트릭애씨드 * 피디알엔: 소듐디엔에이",,html,2026-04-29T16:33:20+09:00
[올영 선런칭] 유세린 티아미돌 부스터 세럼 30ml 기획 (+마스크팩 1매+페이스쿨러),유세린,69000,44%,38900,5,93,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000252128&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=3,"[유세린 이븐래디언스 브라이트닝 부스터 세럼] 정제수,변성알코올,부틸렌글라이콜,글리세린,아이소프로필팔미테이트,세테아릴아이소노나노에이트,다이아이소프로필아디페이트,프로필헵틸카프릴레이트,다이스타치포스페이트,세테아릴알코올,하이드록시프로필스타치포스페이트,글리세릴스테아레이트,소듐하이알루로네이트,페녹시에탄올,향료,다이메티콘,토코페롤,에틸헥실글리세린,트라이소듐이디티에이,데하이드로잔탄검,소듐스테아로일글루타메이트,아이소부틸아미도티아졸릴레조시놀,잔탄검,소듐아스코빌포스페이트,젤란검,글루코실루틴,시트릭애씨드,창과감초뿌리추출물,아이소쿼시트린,소듐클로라이드 [유세린 울트라 센시티브 리페어 수퍼 수르스 마스크] 정제수,부틸렌글라이콜,글리세린,다이프로필렌글라이콜,판테놀,1,2-헥산다이올,프로판다이올,하이드록시아세토페논,폴리솔베이트20,카보머,알지닌,펜틸렌글라이콜,알란토인,4-t-부틸사이클로헥산올,에틸헥실글리세린,하이드록시에틸셀룰로오스,다이소듐이디티에이,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이산알루로네이트,폴리솔베이드60,다이소듐포스페이트,소듐포스페이트,병풀뿌리추출물,프랑스해안송껍질추출물,병풀추출물,병풀잎추출물,아시아틱애씨드,아시아티코사이드,마데카식-애씨드,마데카소사이드 [페이스 쿨러] 재질: ABS+알루미늄",,html,2026-04-29T16:33:20+09:00
[4월올영픽/화잘먹] 넘버즈인 3번 보들보들 모공결 세럼 30ml 더블 기획,넘버즈인,42000,45%,22900,4.9,"2,752",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250773&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4,"비피다발효용해물, 갈락토미세스발효여과물, 부틸렌글라이콜, 메틸글루세스-20, 정제수, 나이아신아마이드, 피이지-90, 1,2-헥산다이올, 글리세린, 스쿠알란, 알테로모나스발효추출물, 실크추출물, 염소유추출물, 락토바실러스발효용해물, 바쿠치올, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 판테놀, 아데노신, 글리세레스-26, 잔탄검, 다이포타슘글리시리제이트, 코직애씨드, 폴리글리세릴-3다이스테아레이트, 글리세릴스테아레이트에스이, 글리세릴스테아레이트시트레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 카보머, 트로메타민, 알란토인, 에틸헥실글리세린, 카프릴릴글라이콜, 트로폴론, 다이소듐이디티에이",,html,2026-04-29T16:33:20+09:00
더마팩토리 나이아신아마이드 20% 세럼 30ml,더마팩토리,,,6000,4.8,"7,489",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225217&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=5,"다마스크장미꽃수, 나이아신아마이드, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 트로메타민, 잔탄검, 다이소듐이디티에이",,html,2026-04-29T16:33:20+09:00
[장도연 PICK] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml,메디힐,36900,38%,22900,4.7,"41,006",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211119&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=6,"정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 글리세릴폴리메타크릴레이트, 판테놀, 베타인, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 다이페닐다이메티콘, 트라이에틸헥사노인, 트로메타민, 마데카소사이드(540 ppm), 에틸헥실글리세린, 하이드로제네이티드레시틴, 잔탄검, 소듐하이알루로네이트, 병풀추출물(51 ppm), 아시아티코사이드(39 ppm), 서양배추출물, 연필향나무오일, 병풀잎추출물(21 ppm), 베타-글루칸, 다마스크장미꽃수, 멜론추출물, 오리스뿌리추출물, 서양송악잎/줄기추출물, 호호바씨오일, 광곽향오일, 불가리스쑥오일, 로즈마리잎오일, 토코페롤, 다이프로필렌글라이콜, 펜틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 마데카식애씨드(0.00004 ppm), 아시아틱애씨드(0.00003 ppm), 세라마이드엔피",,html,2026-04-29T16:33:20+09:00
[TWS포토카드/1500개한정수량/마지막물량] 비긴스 바이 정샘물 나이아신아마이드10  흔적세럼 리필기획,비긴스 바이 정샘물,42000,30%,29400,4.9,"3,051",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231545&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=7,"정제수, 나이아신아마이드, 프로판다이올, 부틸렌글라이콜, 1,2-헥산다이올, 알파-알부틴, 글리세린, 에칠아스코빌에텔, 비타민나무수, 글루타티온(100ppm), 구아바열매추출물(100ppm), 소듐하이알루로네이트, 아데노신, 병풀잎추출물, 판테놀, 알란토인, 마데카소사이드, 아시아티코사이드, 토코페롤, 하이드로제네이티드레시틴, 펜틸렌글라이콜, 글리세릴폴리메타크릴레이트, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 하이드롤라이즈드스클레로튬검, 에틸헥실글리세린, 사이아노코발아민, 잔탄검, 클레리오일, 필리핀오렌지껍질오일, 광곽향오일, 리모넨",,html,2026-04-29T16:33:20+09:00
[1+1/깐달걀피부결] 이니스프리 레티놀 시카 흔적 앰플 30ml 더블 기획,이니스프리,52000,48%,26900,4.8,"21,688",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230208&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=8,"정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 다이부틸아디페이트, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 하이드로제네이티드레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 해바라기씨오일, 콜레스테롤, 알란토인, 돌콩오일, 토코페롤, 토코페릴아세테이트, 소듐메틸스테아로일타우레이트, 프로판다이올, 당근추출물, 에틸헥실글리세린, 아데노신, 아시아티코사이드, 마데카식애씨드, 녹차씨추출물, 아시아틱애씨드, 레티놀(500IU/g), 스테아릴글리시레티네이트, 하이알루로닉애씨드, 만니톨, 세라마이드엔피, 베타-글루칸, 베타-카로틴, 피토스핑고신, 비에이치티, 살리실릭애씨드, 아세틸테트라펩타이드-11",,html,2026-04-29T16:33:20+09:00
[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 60ml,디오디너리,,,15700,4.7,"11,407",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158615&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=9,"정제수, 나이아신아마이드(10%), 펜틸렌글라이콜, 징크피씨에이(징크로서,1%), 다이메틸아이소소바이드, 타마린드씨검, 잔탄검, 아이소세테스-20, 에톡시다이글라이콜, 페녹시에탄올, 클로페네신",,html,2026-04-29T16:33:20+09:00
[1등미백앰플] 메디큐브 PDRN 핑크 앰플 30ml 기획 (본품+리필 50ML+겔패드 2매입*2개),메디큐브,46000,47%,24600,4.7,"21,549",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226498&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=10,"정제수,글리세린,다이프로필렌글라이콜,아이소프로필미리스테이트,글리세레스-26,나이아신아마이드,1,2-헥산다이올,소듐디엔에이,부틸렌글라이콜,폴리글리세린-3,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리아이소부텐,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,이리추출물,트로메타민,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,피브이엠/엠에이코폴리머,에틸헥실글리세린,카프릴릴글라이콜,향료,인도멀구슬나무잎추출물,아데노신,카프릴릴/카프릴글루코사이드,솔비탄올리에이트,인도멀구슬나무꽃추출물,소듐하이알루로네이트,다이소듐이디티에이,울금뿌리추출물,사이아노코발아민,하이드롤라이즈드콜라겐,유비퀴논,홀리바질잎추출물,참산호말추출물,팔미토일펜타펩타이드-4,팔미토일트라이펩타이드-1,팔미토일테트라펩타이드-7,카퍼트라이펩타이드-1,아세틸헥사펩타이드-8,연어알추출물,아텔로콜라겐",,html,2026-04-29T16:33:20+09:00
[보습광채/화잘먹앰플] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 2입 기획 (+15ml),차앤박,52000,44%,28900,4.9,"11,914",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242720&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=11,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 폴리솔베이트20, 도둑놈의지팡이뿌리추출물 , 띠뿌리추출물, 하이드록시에틸셀룰로오스, 프로폴리스추출물(1932ppm), 알지닌, 카보머, 알란토인, 마데카소사이드, 더덕뿌리추출물, 무화과추출물, 레몬밤잎추출물, 석류추출물, 펜틸렌글라이콜, 소듐하이알루로네이트, 다이소듐이디티에이, 센티드제라늄꽃오일, 베타-글루칸, 카프릴릴글라이콜, 소듐시트레이트, 하이드록시페닐프로파미도벤조익애씨드, 꿀추출물, 소듐락테이트, 다이소듐포스페이트, 폴리솔베이트60, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 시트릭애씨드, 소듐포스페이트,아스코빌팔미테이트, 바이오틴, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 시트로넬올, 제라니올",,html,2026-04-29T16:33:20+09:00
[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 30ml,디오디너리,,,8700,4.6,"14,613",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157350&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=12,"정제수, 나이아신아마이드, 펜틸렌글라이콜, 징크피씨에이, 다이메틸아이소소바이드, 타마린드씨검, 잔탄검, 아이소세테스-20, 에톡시다이글라이콜, 페녹시에탄올, 클로페네신",,html,2026-04-29T16:33:20+09:00
[4월올영픽/자극도ZERO]아이오페 레티놀 슈퍼 바운스 세럼 20ml 기획 (+15ml),아이오페,33000,29%,23500,4.8,"5,156",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250344&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=13,"정제수, 부틸렌글라이콜, 스쿠알란, 메틸트라이메티콘, 글리세린, 비스-하이드록시에톡시프로필다이메티콘, 1,2-헥산다이올, 락토바실러스발효용해물, C14-22알코올, 시어버터, 팔미틱애씨드, 해바라기씨오일, 스테아릭애씨드, 글리세릴스테아레이트, 피이지-100스테아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이메틸아이소소바이드, C12-20알킬글루코사이드, 돌콩오일, 카보머, 만니톨, 당근추출물, 글리세릴카프릴레이트, 트로메타민, 다이소듐이디티에이, 코질메틸렌다이옥시신나메이트, 에틸헥실글리세린, 펜틸렌글라이콜, 잔탄검, 마데카소사이드, 하이드록시피나콜론레티노에이트, 솔비탄아이소스테아레이트, 레티놀, 트레할로오스, 베타-카로틴, 토코페롤, 비에이치티, 아라비아고무나무검, 아세틸테트라펩타이드-11, 하이드로제네이티드포스파티딜콜린, 편백잎추출물, 데카펩타이드-4, 소듐올리에이트, 프로필렌글라이콜알지네이트, 벼에스에이치-올리고펩타이드-1 * 레티놀 함량 509 IU/g",,html,2026-04-29T16:33:20+09:00
